N,E,k
100,81.2,6
200,247.6,7
300,407.6,8
400,414,8
500,343.6,8
600,407.6,8
700,1098.8,9
800,791.6,9
900,1303.6,10
1000,1175.6,9
1100,1226.8,10
1200,1073.2,9
1300,1201.2,10
1400,1534,10
1500,919.6,9
1600,1329.2,10
1700,1636.4,10
1800,1790,10
1900,1585.2,10
2000,1380.4,10
2100,1636.4,10
2200,2455.6,10
2300,1738.8,10
2400,2250.8,11
2500,2967.6,11
2600,2814,11
2700,2762.8,11
2800,2865.2,11
2900,2455.6,11
3000,2148.4,11
3100,2455.6,11
3200,4196.4,11
3300,3274.8,11
3400,2865.2,11
3500,4401.2,11
3600,2967.6,11
3700,3684.4,11
3800,4606,11
3900,4503.6,11
4000,3274.8,11
4100,5118,12
4200,3172.4,11
4300,3991.6,11
4400,3991.6,11
4500,3889.2,11
4600,6858.8,12
4700,5220.4,12
4800,4606,11
4900,3274.8,11
5000,4503.6,11
5100,4708.4,12
5200,5527.6,12
5300,6346.8,12
5400,5732.4,12
5500,4503.6,12
5600,6551.6,12
5700,4094,11
5800,6551.6,12
5900,5118,12
6000,6756.4,12
6100,4503.6,12
6200,6142,12
6300,4298.8,12
6400,7370.8,12
6500,5527.6,12
6600,6961.2,12
6700,5118,12
6800,4913.2,12
6900,5118,12
7000,7780.4,12
7100,7166,12
7200,8804.4,12
7300,5937.2,12
7400,9009.2,13
7500,7575.6,12
7600,7985.2,12
7700,7985.2,12
7800,5937.2,12
7900,6346.8,12
8000,6142,12
8100,5937.2,12
8200,7780.4,12
8300,7370.8,12
8400,9418.8,12
8500,5322.8,12
8600,6756.4,12
8700,7575.6,12
8800,10238,13
8900,7575.6,12
9000,7985.2,12
9100,10647.6,13
9200,6551.6,12
9300,9418.8,13
9400,8190,12
9500,9828.4,13
9600,12081.2,13
9700,11466.8,13
9800,11876.4,13
9900,9828.4,13
10000,12695.6,13
