N,static_points,cycles,records
100,1,5,5
100,0,8,5
100,2,3,4
100,0,3,8
100,2,9,3
100,2,9,9
100,1,5,5
100,2,4,3
100,2,6,5
100,1,6,6
100,1,4,4
100,1,4,4
100,1,3,4
100,3,6,5
100,1,2,3
100,2,8,5
100,0,4,7
100,0,3,12
100,2,8,4
100,1,4,7
100,1,7,5
100,1,3,5
100,1,7,4
100,1,4,4
100,0,5,5
100,1,8,5
100,2,5,2
100,0,3,4
100,0,4,6
100,2,3,7
100,3,5,6
100,0,2,6
100,1,5,5
100,0,1,4
100,0,3,5
100,1,5,6
100,0,3,5
100,2,6,5
100,1,8,5
100,1,3,7
100,1,5,3
100,2,5,6
100,1,6,7
100,0,2,9
100,0,5,6
100,1,6,6
100,1,3,5
100,2,7,3
100,2,6,6
100,0,3,5
100,1,4,4
100,0,8,7
100,1,6,5
100,2,6,7
100,2,5,4
100,0,4,6
100,1,6,4
100,0,2,4
100,4,12,2
100,1,5,6
100,1,7,3
100,0,4,5
100,1,5,4
100,0,5,5
100,2,5,4
100,3,8,6
100,1,6,9
100,0,4,4
100,1,5,5
100,1,4,6
100,0,1,7
100,2,5,2
100,2,9,2
100,0,2,2
100,1,4,3
100,0,5,5
100,1,6,4
100,1,3,3
100,1,4,7
100,0,7,4
100,2,6,5
100,1,6,3
100,0,5,5
100,0,6,7
100,1,5,7
100,0,3,6
100,0,5,4
100,1,3,6
100,0,3,4
100,0,3,4
100,2,7,7
100,0,5,1
100,1,6,3
100,0,4,4
100,1,6,3
100,0,6,8
100,1,3,5
100,0,6,6
100,1,7,4
100,0,5,8
100,0,3,7
100,0,5,6
100,1,9,4
100,0,5,5
100,1,3,5
100,0,6,1
100,0,4,4
100,1,4,8
100,0,5,3
100,1,5,6
100,2,6,7
100,0,2,7
100,0,6,7
100,0,2,6
100,1,5,4
100,0,3,4
100,0,4,6
100,0,3,6
100,0,5,5
100,0,3,9
100,1,5,4
100,1,7,6
100,2,6,8
100,1,4,4
100,2,6,6
100,1,4,6
100,1,5,4
100,0,5,6
100,1,8,6
100,2,6,4
100,0,2,4
100,0,3,6
100,3,10,8
100,0,2,7
100,1,6,3
100,0,4,6
100,0,4,5
100,0,6,6
100,1,4,4
100,6,11,6
100,0,4,5
100,3,5,9
100,1,4,4
100,1,7,8
100,0,4,6
100,1,4,6
100,2,5,7
100,1,3,9
100,1,4,1
100,0,5,4
100,1,7,4
100,1,5,5
100,1,7,5
100,1,6,9
100,0,5,5
100,0,2,5
100,0,2,4
100,0,5,3
100,1,6,1
100,0,6,6
100,2,7,8
100,0,2,4
100,0,3,5
100,2,7,2
100,0,3,4
100,0,2,5
100,1,8,3
100,3,7,9
100,1,5,4
100,1,4,3
100,2,5,6
