N,removed,diff,iterations
100,401,208,23418
100,363,208,21585
100,373,208,21963
100,389,208,23052
100,382,208,22843
100,406,208,23766
100,379,208,22409
100,370,208,21727
100,382,208,22648
100,383,208,22562
100,377,208,22245
100,385,208,22508
100,366,208,21556
100,362,208,21468
100,376,208,22299
100,408,208,24065
100,377,208,22187
100,369,208,21733
100,368,208,21741
100,387,208,22561
100,372,208,21766
100,378,208,22450
100,396,208,23171
100,373,208,21836
100,367,208,21514
100,388,208,22623
100,387,208,22626
100,389,208,22870
100,377,208,22269
100,381,208,22348
100,396,208,23271
100,391,208,23042
100,411,208,24190
100,388,208,22706
100,374,208,22074
100,371,208,21764
100,380,208,22513
100,374,208,21741
100,382,208,22361
100,388,208,22837
100,394,208,23301
100,385,208,22774
100,376,208,22033
100,377,208,22280
100,392,208,23429
100,372,208,21710
100,359,208,21198
100,391,208,23187
100,378,208,22392
100,390,208,22925
100,396,208,23317
100,381,208,22358
100,383,208,22692
100,380,208,22350
100,409,208,24072
100,388,208,22543
100,379,208,22110
100,391,208,23272
100,386,208,23063
100,401,208,23699
100,383,208,22498
100,376,208,22507
100,388,208,22848
100,373,208,22482
100,406,208,23528
100,364,208,21626
100,373,208,21836
100,376,208,22061
100,387,208,22726
100,367,208,21598
100,392,208,22983
100,388,208,22779
100,405,208,23627
100,374,208,22477
100,389,208,23016
100,382,208,22674
100,374,208,22202
100,384,208,22556
100,379,208,22167
100,372,208,21783
100,396,208,23073
100,385,208,22509
100,371,208,22097
100,370,208,21744
100,362,208,21306
100,375,208,22044
100,369,208,21550
100,375,208,21782
100,369,208,21553
100,375,208,22370
100,399,208,23372
100,386,208,22716
100,353,208,20842
100,397,208,23276
100,375,208,22075
100,369,208,22014
100,391,208,22987
100,396,208,23421
100,377,208,22098
100,384,208,22408
100,378,208,22211
100,385,208,22790
100,386,208,22456
100,384,208,22413
100,392,208,22871
100,390,208,22844
100,370,208,21782
100,377,208,22184
100,368,208,21418
100,395,208,23317
100,376,208,22151
100,367,208,21674
100,388,208,22812
100,405,208,23822
100,359,208,21361
100,393,208,23167
100,391,208,22944
100,389,208,22899
100,368,208,21643
100,383,208,22601
100,383,208,22458
100,384,208,22882
100,375,208,22152
100,377,208,22070
100,381,208,22220
100,363,208,21380
100,363,208,21453
100,365,208,21491
100,392,208,23645
100,394,208,23372
100,373,208,22198
100,354,208,20998
100,388,208,22754
100,367,208,21580
100,369,208,21639
100,371,208,21826
100,395,208,23167
100,404,208,24148
100,370,208,21959
100,383,208,22371
100,376,208,22360
100,384,208,22528
100,381,208,22360
100,400,208,23683
100,393,208,23469
100,380,208,22259
100,384,208,22657
100,357,208,21085
100,395,208,23130
100,389,208,22613
100,381,208,22471
100,380,208,22242
100,395,208,23387
100,372,208,22203
100,379,208,22315
100,414,208,24464
100,389,208,22854
100,372,208,22153
100,370,208,22169
100,365,208,21465
100,375,208,22130
100,378,208,22042
100,383,208,22337
100,373,208,21932
100,355,208,21122
100,388,208,22785
100,364,208,21295
100,381,208,22289
100,378,208,22044
100,385,208,22405
100,359,208,21099
100,384,208,22475
100,384,208,22592
100,393,208,23132
100,388,208,22838
100,362,208,21287
100,359,208,21489
100,376,208,22125
100,383,208,22603
100,391,208,22984
100,383,208,22659
100,385,208,22557
100,364,208,21549
100,377,208,22184
100,389,208,23185
100,379,208,22419
100,370,208,22092
100,406,208,23715
100,355,208,20843
100,363,208,21353
100,371,208,21820
100,386,208,22299
100,391,208,22827
100,390,208,22875
100,380,208,22401
100,381,208,22857
100,369,208,22018
100,401,208,23494
100,354,208,20747
100,373,208,22267
100,379,208,22499
100,386,208,22727
100,376,208,22125
100,398,208,23490
100,379,208,22907
100,383,208,22769
100,386,208,22678
100,393,208,22925
100,399,208,23465
100,387,208,22918
100,379,208,22062
100,382,208,22377
100,387,208,22656
100,380,208,22281
100,363,208,21276
100,368,208,21665
100,367,208,21877
100,363,208,21474
100,386,208,22684
100,396,208,23280
100,397,208,23156
100,395,208,23206
100,391,208,22883
100,379,208,22319
100,390,208,23264
100,391,208,22981
100,370,208,21758
100,375,208,21874
100,361,208,21519
100,380,208,22326
100,374,208,22104
100,389,208,22676
100,376,208,22402
100,406,208,23884
100,381,208,22197
100,386,208,22733
100,392,208,23195
100,385,208,22727
100,392,208,23227
100,375,208,21840
100,391,208,23283
100,386,208,22748
100,397,208,23541
100,373,208,22112
100,400,208,23515
100,376,208,22345
100,363,208,21421
100,383,208,22492
100,376,208,22171
100,385,208,23023
100,375,208,22237
100,365,208,21406
100,400,208,23587
100,377,208,22328
100,375,208,21907
100,380,208,22330
100,421,208,24750
100,361,208,21430
100,393,208,22999
100,372,208,21831
100,382,208,22648
100,371,208,22006
100,384,208,22595
100,369,208,21732
100,364,208,21804
100,361,208,21322
100,400,208,23611
100,371,208,21926
100,387,208,22912
100,386,208,22869
100,359,208,21333
100,376,208,22236
100,388,208,22799
100,361,208,21445
100,377,208,22005
100,390,208,22790
100,388,208,22622
100,374,208,21850
100,370,208,21792
100,389,208,22800
100,392,208,22894
100,363,208,21399
100,353,208,21027
100,386,208,23004
100,395,208,23584
100,374,208,21849
100,388,208,23243
100,383,208,22548
100,397,208,23504
100,385,208,22866
