N,triangles,iterations
100,208,22392
100,208,22404
100,208,23063
100,208,22922
100,208,21472
100,208,21293
100,208,22673
100,208,23488
100,208,20714
100,208,21278
100,208,24008
100,208,21803
100,208,22836
100,208,21622
100,208,21937
100,208,21605
100,208,22172
100,208,23506
100,208,21480
100,208,23301
100,208,23519
100,208,21888
100,208,21799
100,208,21887
100,208,22752
100,208,22541
100,208,22129
100,208,23144
100,208,23496
100,208,21317
100,208,22607
100,208,23019
100,208,21692
100,208,21794
100,208,23074
100,208,21724
100,208,22926
100,208,23066
100,208,21743
100,208,22345
100,208,23435
100,208,21613
100,208,22470
100,208,21848
100,208,22536
100,208,23256
100,208,24198
100,208,22381
100,208,22591
100,208,22597
100,208,23386
100,208,23122
100,208,21714
100,208,22134
100,208,24822
100,208,22421
100,208,22128
100,208,22405
100,208,23057
100,208,22346
100,208,22135
100,208,21931
100,208,23317
100,208,21567
100,208,22867
100,208,23159
100,208,22481
100,208,21545
100,208,21812
100,208,22008
100,208,23155
100,208,23143
100,208,21633
100,208,22093
100,208,21022
100,208,22237
100,208,21107
100,208,22207
100,208,22489
100,208,22078
100,208,22618
100,208,21480
100,208,21755
100,208,23503
100,208,23290
100,208,21313
100,208,22127
100,208,21857
100,208,22726
100,208,22228
100,208,22602
100,208,22224
100,208,21732
100,208,23035
100,208,22677
100,208,22401
100,208,23090
100,208,22619
100,208,21913
100,208,21851
200,408,65106
200,408,65792
200,408,66226
200,408,64670
200,408,66310
200,408,65754
200,408,65872
200,408,66750
200,408,66384
200,408,64745
200,408,65867
200,408,65528
200,408,66938
200,408,63002
200,408,64797
200,408,66234
200,408,67487
200,408,65861
200,408,65621
200,408,63628
200,408,65553
200,408,65269
200,408,65256
200,408,67924
200,408,66030
200,408,65844
200,408,65406
200,408,67295
200,408,64838
200,408,66515
200,408,65219
200,408,65083
200,408,63971
200,408,67103
200,408,66714
200,408,65492
200,408,65265
200,408,64668
200,408,65773
200,408,65825
200,408,67477
200,408,64416
200,408,65393
200,408,67183
200,408,65481
200,408,65408
200,408,65738
200,408,64069
200,408,63845
200,408,65563
200,408,66761
200,408,65498
200,408,66754
200,408,64231
200,408,66705
200,408,64382
200,408,67082
200,408,64651
200,408,64518
200,408,65501
200,408,65244
200,408,64764
200,408,66983
