n,max,empty
100,4,35
100,4,33
100,5,33
100,4,32
100,3,37
100,5,36
100,3,36
100,4,36
100,4,37
100,3,35
100,4,33
100,5,36
100,5,38
100,3,34
100,3,38
100,4,34
100,5,41
100,4,40
100,4,37
100,5,38
100,4,37
100,4,35
100,4,38
100,4,39
100,5,38
100,4,34
100,5,40
100,5,32
100,5,34
100,5,37
100,4,38
100,4,39
100,4,39
100,5,36
100,4,35
100,3,35
100,4,38
100,4,39
100,5,42
100,5,34
100,5,35
100,3,38
100,4,38
100,4,38
100,4,34
100,4,35
100,4,35
100,4,40
100,5,33
100,5,37
100,6,39
100,4,35
100,6,35
100,4,30
100,3,37
100,5,41
100,4,34
100,5,40
100,4,32
100,5,37
100,4,32
100,4,40
100,4,37
100,3,34
100,3,37
100,4,37
100,4,31
100,5,37
100,5,40
100,4,36
100,5,37
100,5,36
100,4,41
100,4,34
100,4,34
100,5,34
100,5,43
100,5,36
100,4,37
100,4,40
100,5,37
100,5,39
100,5,39
100,5,32
100,4,40
100,5,39
100,5,39
100,4,35
100,5,36
100,7,38
100,5,43
100,3,32
100,5,39
100,4,33
100,4,35
100,6,37
100,3,31
100,4,42
100,5,35
100,5,39
200,4,68
200,5,72
200,4,73
200,4,72
200,4,72
200,4,71
200,4,73
200,6,73
200,6,79
200,4,78
200,4,74
200,4,73
200,4,72
200,5,80
200,4,74
200,5,76
200,5,70
200,4,70
200,4,66
200,5,74
200,4,74
200,4,72
200,4,74
200,5,73
200,5,79
200,4,70
200,4,72
200,4,71
200,4,75
200,4,77
200,4,75
200,5,74
200,5,76
200,5,77
200,7,77
200,4,65
200,5,73
200,5,74
200,5,73
200,4,79
200,6,81
200,5,67
200,4,77
200,4,73
200,5,72
200,5,69
200,5,72
200,4,77
200,5,76
200,4,70
200,5,65
200,5,79
200,4,76
200,5,73
200,4,65
200,4,72
200,5,71
200,6,69
200,5,70
200,4,71
200,6,80
200,5,75
200,3,67
200,4,83
200,5,70
200,4,72
200,5,80
200,5,65
200,5,76
200,4,75
200,4,64
200,5,68
200,8,76
200,5,71
200,4,65
200,4,67
200,4,71
200,4,69
200,5,80
200,5,68
200,5,77
200,4,71
200,4,71
200,4,71
200,4,78
200,5,80
200,5,72
200,4,79
200,5,67
200,4,68
200,5,76
200,5,78
200,4,72
200,5,74
200,4,77
200,4,79
200,4,72
200,6,77
200,4,72
200,4,77
300,4,106
300,5,114
300,6,116
300,6,102
300,4,105
300,5,116
300,6,108
300,5,103
300,4,110
300,7,112
300,5,111
300,6,115
300,4,116
300,5,107
300,5,107
300,5,113
300,5,120
300,5,112
300,5,118
300,6,114
300,5,109
300,6,106
300,4,99
300,5,114
300,5,107
300,4,111
300,5,114
300,4,105
300,4,106
300,5,113
300,5,108
300,7,109
300,4,98
300,4,103
300,5,119
300,5,115
300,5,112
300,4,118
300,5,108
300,4,112
300,6,116
300,4,112
300,4,108
300,4,105
300,4,119
300,5,116
300,4,109
300,5,108
300,5,109
300,7,112
300,6,114
300,5,112
300,5,117
300,6,111
300,5,110
300,5,117
300,4,106
300,5,114
300,4,113
300,5,103
300,5,107
300,4,108
300,4,105
300,5,121
300,5,117
300,5,114
300,4,104
300,5,111
300,5,99
300,4,110
300,4,119
300,5,113
300,4,104
300,5,115
300,6,113
300,5,116
300,5,112
300,5,114
300,5,111
300,4,103
300,4,108
300,5,118
300,4,115
300,5,108
300,5,119
300,5,112
300,6,109
300,5,107
300,4,112
300,4,106
300,4,113
300,4,112
300,7,109
300,5,107
300,4,108
300,5,111
300,4,113
300,5,106
300,5,116
300,5,106
400,5,156
400,5,150
400,4,143
400,5,148
400,5,148
400,5,138
400,5,148
400,4,148
400,4,158
400,5,143
400,5,143
400,4,141
400,5,150
400,6,157
400,5,146
400,5,140
400,5,140
400,4,149
400,6,138
400,5,148
400,6,145
400,5,138
400,7,152
400,4,159
400,5,138
400,4,144
400,4,149
400,5,163
400,4,146
400,7,142
400,4,142
400,5,140
400,5,152
400,5,140
400,5,156
400,5,144
400,5,142
400,5,153
400,6,144
400,5,131
400,6,139
400,5,148
400,5,139
400,6,166
400,5,149
400,6,141
400,4,140
400,5,147
400,5,140
400,4,143
400,5,148
400,6,137
400,5,149
400,4,148
400,6,153
400,5,154
400,7,146
400,6,144
400,4,139
